image_id,transform_method,rmse,inliers,num_lm_common,quality_gate_passed,confidence_level,error
0040_top_20250704_t1,Homography,2.0838,12.0,21.0,True,medium,
0041_top_20250704_t0,Homography,1.2975,8.0,11.0,True,medium,
0041_top_20250704_t1,Homography,2.3559,10.0,21.0,True,medium,
0043_top_20250623_t0,Homography,1.1812,5.0,8.0,True,medium,
0043_top_20250623_t1,Homography,2.3915,15.0,21.0,True,medium,
0045_top_20250623_t0,Homography,2.0233,11.0,12.0,True,medium,
0045_top_20250623_t1,Homography,1.9421,12.0,15.0,True,medium,
0047_top_20250623_t0,Homography,1.2587,10.0,10.0,True,medium,
0047_top_20250623_t1,Homography,2.2499,8.0,8.0,True,medium,
0048_top_20250704_t0,Homography,1.7967,7.0,12.0,True,medium,
0048_top_20250704_t1,Homography,1.7013,6.0,8.0,True,medium,
0049_top_20250704_t0,Homography,0.9732,7.0,8.0,True,medium,
0049_top_20250704_t1,Homography,2.1292,13.0,15.0,True,medium,
0050_top_20250704_t0,Homography,0.6144,5.0,8.0,True,medium,
0050_top_20250704_t1,Homography,1.8378,7.0,8.0,True,medium,
0052_top_20250619_t0,Homography,1.5296,10.0,11.0,True,medium,
0052_top_20250619_t1,Homography,0.9343,8.0,8.0,True,medium,
0053_top_20250619_t0,Homography,2.3881,7.0,11.0,True,medium,
0053_top_20250619_t1,Homography,0.7993,6.0,8.0,True,medium,
