vehicle_id,zone_id,t1_img,xc,yc,t1_w,t1_h
709,d,0013_top_20250704_t1,404.0,613.5,72,51
710,d,0013_top_20250704_t1,233.0,441.0,44,156
717,c,0013_top_20250711_t1,297.5,417.5,49,113
718,c,0013_top_20250711_t1,251.5,422.5,45,117
719,c,0013_top_20250711_t1,214.0,438.0,48,106
720,d,0014_top_20250704_t1,393.5,211.0,73,56
721,d,0014_top_20250704_t1,239.5,67.5,41,123
723,c,0014_top_20250707_t1,565.5,99.5,47,55
729,b,0014_top_20250708_t1,172.0,195.5,56,161
730,b,0014_top_20250708_t1,229.5,169.0,65,164
746,c,0015_top_20250624_t1,196.5,173.0,25,102
776,b,0015_top_20250626_t1,230.0,540.0,78,56
777,b,0015_top_20250626_t1,249.5,613.0,75,52
778,b,0015_top_20250626_t1,300.0,322.5,36,141
779,b,0015_top_20250626_t1,220.5,468.0,87,60
781,b,0015_top_20250626_t1,228.5,386.0,85,56
782,b,0015_top_20250626_t1,304.0,481.0,38,128
783,b,0015_top_20250626_t1,210.5,61.0,69,62
784,b,0015_top_20250626_t1,207.5,7.5,95,15
829,c,0017_top_20250702_t1,366.5,240.5,107,361
833,c,0017_top_20250708_t1,348.0,152.0,40,128
834,b,0017_top_20250711_t1,289.5,212.5,65,215
838,c,0018_top_20250702_t1,442.5,284.0,149,390
844,c,0019_top_20250703_t1,251.0,302.0,56,108
845,c,0019_top_20250703_t1,468.0,148.0,88,56
846,c,0019_top_20250703_t1,469.5,79.5,85,63
847,c,0019_top_20250703_t1,468.0,222.0,86,60
848,c,0019_top_20250703_t1,468.5,305.0,89,60
850,c,0019_top_20250707_t1,311.5,256.5,41,133
851,c,0019_top_20250707_t1,267.0,246.5,40,133
852,c,0019_top_20250707_t1,223.0,237.5,30,99
854,b,0019_top_20250711_t1,297.5,141.0,39,106
855,b,0019_top_20250711_t1,46.5,107.0,35,108
858,c,0020_top_20250703_t1,321.5,347.5,33,119
859,c,0020_top_20250703_t1,321.0,216.0,32,116
860,c,0020_top_20250703_t1,453.5,341.5,31,119
861,c,0020_top_20250703_t1,489.0,344.0,32,126
862,c,0020_top_20250703_t1,522.0,345.0,32,122
863,c,0020_top_20250703_t1,422.5,218.0,33,114
864,c,0020_top_20250703_t1,356.0,215.5,34,117
865,c,0020_top_20250703_t1,557.0,347.5,30,117
866,c,0020_top_20250703_t1,389.5,215.0,35,122
867,c,0020_top_20250703_t1,586.5,356.5,25,89
879,b,0020_top_20250711_t1,458.0,115.0,42,166
880,b,0020_top_20250711_t1,217.5,109.5,43,163
881,b,0021_top_20250619_t1,312.0,290.0,166,342
884,d,0021_top_20250626_t1,221.5,386.0,43,166
890,d,0022_top_20250626_t1,431.0,543.5,86,61
891,d,0022_top_20250626_t1,90.5,101.0,37,124
892,d,0022_top_20250626_t1,285.0,234.0,26,104
906,c,0022_top_20250702_t1,356.0,178.0,114,90
907,c,0022_top_20250702_t1,466.0,398.5,116,79
919,b,0023_top_20250711_t1,256.5,83.5,101,51
920,b,0023_top_20250711_t1,525.5,34.0,159,68
949,b,0025_top_20250707_t1,470.5,64.5,95,67
950,b,0025_top_20250707_t1,459.5,8.5,75,17
959,d,0026_top_20250623_t1,314.5,275.5,35,115
961,d,0026_top_20250623_t1,276.0,413.0,34,112
971,d,0027_top_20250623_t1,291.5,248.5,69,69
972,d,0027_top_20250623_t1,66.5,186.0,69,58
973,d,0027_top_20250623_t1,537.0,290.0,70,62
992,d,0027_top_20250709_t1,187.0,349.0,56,64
1003,c,0028_top_20250704_t1,347.5,192.0,55,152
1004,b,0028_top_20250707_t1,531.0,220.5,80,59
1005,b,0028_top_20250707_t1,274.0,462.0,84,80
1006,b,0028_top_20250707_t1,383.5,479.0,99,82
1007,b,0028_top_20250707_t1,532.0,146.5,82,57
1010,d,0028_top_20250709_t1,381.0,259.0,18,60
1020,b,0029_top_20250619_t1,366.5,319.0,139,326
1029,d,0029_top_20250704_t1,114.5,165.0,49,90
1030,d,0029_top_20250704_t1,299.5,416.0,29,50
1031,d,0029_top_20250704_t1,390.5,240.0,33,46
1032,d,0029_top_20250704_t1,127.5,213.0,31,82
1033,d,0029_top_20250704_t1,333.5,348.0,29,46
1034,d,0029_top_20250704_t1,141.5,241.5,55,83
1035,d,0029_top_20250704_t1,341.5,321.5,29,39
1036,d,0029_top_20250704_t1,376.0,256.0,28,44
1045,b,0029_top_20250707_t1,508.5,451.5,47,197
1046,b,0029_top_20250707_t1,297.5,149.5,49,169
1047,b,0029_top_20250707_t1,497.0,218.0,50,204
1048,b,0029_top_20250707_t1,229.0,153.5,48,173
1049,b,0029_top_20250707_t1,508.0,621.5,50,35
1050,b,0029_top_20250707_t1,263.0,620.5,74,37
1051,d,0030_top_20250623_t1,270.5,498.5,63,251
1058,c,0031_top_20250703_t1,254.0,274.0,144,392
1059,c,0031_top_20250703_t1,319.0,261.0,108,394
1067,b,0033_top_20250707_t1,594.5,272.0,89,138
1068,b,0033_top_20250707_t1,255.5,210.0,75,330
1069,b,0033_top_20250707_t1,596.0,462.5,86,141
1075,c,0034_top_20250704_t1,339.5,545.0,43,150
1076,c,0034_top_20250704_t1,324.5,179.5,53,123
1109,c,0039_top_20250704_t1,413.0,237.0,50,120
1113,c,0040_top_20250623_t1,134.5,365.0,21,68
1114,c,0040_top_20250623_t1,84.0,367.5,26,87
1115,c,0040_top_20250623_t1,142.5,174.0,19,84
1116,c,0040_top_20250623_t1,56.5,471.5,27,89
1117,c,0040_top_20250623_t1,137.5,461.5,25,87
1118,c,0040_top_20250623_t1,308.5,330.5,19,81
1119,c,0040_top_20250623_t1,90.5,182.5,21,85
1120,c,0040_top_20250623_t1,254.5,160.5,19,85
1121,c,0040_top_20250623_t1,310.5,434.0,21,80
1122,c,0040_top_20250623_t1,186.5,453.0,25,84
1123,c,0040_top_20250623_t1,214.5,454.0,25,88
1124,c,0040_top_20250623_t1,110.5,463.5,25,85
1125,c,0040_top_20250623_t1,409.5,329.0,23,90
1126,c,0040_top_20250623_t1,481.5,307.5,21,87
1137,d,0041_top_20250704_t1,338.5,607.0,23,50
1141,c,0043_top_20250623_t1,161.5,373.0,59,46
1142,c,0043_top_20250623_t1,153.0,280.0,54,42
1143,c,0043_top_20250623_t1,168.0,501.5,50,41
1144,c,0043_top_20250623_t1,280.5,489.0,51,44
1145,c,0043_top_20250623_t1,276.5,401.5,51,47
1146,c,0043_top_20250623_t1,396.5,470.5,19,83
1158,c,0044_top_20250623_t1,315.5,162.5,57,89
1159,c,0044_top_20250623_t1,168.5,47.0,49,94
1160,c,0044_top_20250623_t1,139.0,331.0,56,132
1162,c,0044_top_20250623_t1,101.0,290.0,42,106
1167,d,0044_top_20250626_t1,373.0,405.5,80,323
1171,c,0045_top_20250623_t1,280.0,286.5,50,47
1172,c,0045_top_20250623_t1,371.5,123.5,51,43
1173,c,0045_top_20250623_t1,186.0,281.5,28,89
1174,c,0045_top_20250623_t1,265.5,72.5,21,83
1175,c,0045_top_20250623_t1,238.5,78.0,19,80
1183,b,0045_top_20250626_t1,533.5,609.0,191,62
1184,b,0045_top_20250626_t1,321.0,372.0,76,302
1185,b,0045_top_20250626_t1,26.0,383.0,52,300
1189,c,0047_top_20250623_t1,336.5,224.0,21,92
1190,c,0047_top_20250623_t1,258.5,231.5,25,99
1191,c,0047_top_20250623_t1,501.5,240.5,21,93
1192,c,0047_top_20250623_t1,148.0,323.5,24,89
