vehicle_id,t0_image,t1_image,t0_x1,t0_y1,t0_x2,t0_y2,t1_x1,t1_y1,t1_x2,t1_y2,t0_orig_x1,t0_orig_y1,t0_orig_x2,t0_orig_y2,t1_orig_x1,t1_orig_y1,t1_orig_x2,t1_orig_y2,iou,reid_similarity,final_score,note,is_matched
42,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,685,821,762,905,652,829,724,915,251,169,280,221,276,231,293,273,0.3056930693069307,0.6139196157455444,0.3056930693069307,hungarian,1
43,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,472,335,559,404,482,319,559,413,413,538,451,595,364,483,382,531,0.6701564076690212,0.571017861366272,0.6701564076690212,hungarian,1
44,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,525,408,608,479,535,398,614,490,376,478,411,535,341,447,360,493,0.6496615693156179,0.715468168258667,0.6496615693156179,hungarian,1
45,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,607,839,680,915,614,836,679,918,286,149,313,195,289,225,304,265,0.8319299427416639,0.7205833792686462,0.8319299427416639,hungarian,1
46,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,728,810,801,894,729,812,805,902,234,183,262,236,253,247,271,290,0.8353140916808149,0.6441100239753723,0.8353140916808149,hungarian,1
47,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,555,577,639,652,565,573,640,660,336,336,370,389,320,358,338,401,0.7628865979381443,0.7519835233688354,0.7628865979381443,hungarian,1
48,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,1064,491,1127,564,1063,471,1151,583,95,509,126,567,174,453,194,509,0.4666193181818182,0.6482985615730286,0.4666193181818182,hungarian,1
49,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,684,553,765,624,691,549,772,634,277,383,312,434,282,386,302,427,0.7117312381468437,0.6196867227554321,0.7117312381468437,hungarian,1
50,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,1071,492,1121,558,1073,473,1144,567,98,513,122,568,176,461,192,509,0.46547164266823393,0.7232925295829773,0.46547164266823393,hungarian,1
51,0001_top_20250705_t0.png_detect.csv,0001_top_20250705_t1.JPG_detect.csv,1027,755,1099,839,1027,752,1103,842,97,273,129,328,169,310,187,354,0.8842105263157894,0.7221106290817261,0.8842105263157894,hungarian,1
52,,0001_top_20250705_t1.JPG_detect.csv,,,,,303,1119,400,1193,,,,,351,51,377,82,0.0,0.0,0.0,new,0
53,,0001_top_20250705_t1.JPG_detect.csv,,,,,290,1074,387,1152,,,,,358,71,384,104,0.0,0.0,0.0,new,0
54,,0001_top_20250705_t1.JPG_detect.csv,,,,,332,723,423,812,,,,,374,253,397,295,0.0,0.0,0.0,new,0
55,,0001_top_20250705_t1.JPG_detect.csv,,,,,283,1025,380,1096,,,,,364,99,390,129,0.0,0.0,0.0,new,0
56,,0001_top_20250705_t1.JPG_detect.csv,,,,,450,1139,537,1233,,,,,309,45,330,88,0.0,0.0,0.0,new,0
57,,0001_top_20250705_t1.JPG_detect.csv,,,,,244,165,342,270,,,,,443,539,467,592,0.0,0.0,0.0,new,0
58,,0001_top_20250705_t1.JPG_detect.csv,,,,,667,1155,760,1273,,,,,242,48,263,104,0.0,0.0,0.0,new,0
59,,0001_top_20250705_t1.JPG_detect.csv,,,,,432,863,505,953,,,,,339,187,356,231,0.0,0.0,0.0,new,0
60,,0001_top_20250705_t1.JPG_detect.csv,,,,,403,677,485,777,,,,,359,278,378,328,0.0,0.0,0.0,new,0
61,,0001_top_20250705_t1.JPG_detect.csv,,,,,273,991,378,1073,,,,,367,111,395,146,0.0,0.0,0.0,new,0
62,,0001_top_20250705_t1.JPG_detect.csv,,,,,523,860,590,936,,,,,314,206,330,242,0.0,0.0,0.0,new,0
63,,0001_top_20250705_t1.JPG_detect.csv,,,,,482,867,545,938,,,,,327,200,342,234,0.0,0.0,0.0,new,0
64,,0001_top_20250705_t1.JPG_detect.csv,,,,,565,847,636,928,,,,,301,215,318,254,0.0,0.0,0.0,new,0
65,,0001_top_20250705_t1.JPG_detect.csv,,,,,455,942,526,1032,,,,,327,148,343,192,0.0,0.0,0.0,new,0
66,,0001_top_20250705_t1.JPG_detect.csv,,,,,1234,359,1411,544,,,,,103,500,147,589,0.0,0.0,0.0,new,0
67,,0001_top_20250705_t1.JPG_detect.csv,,,,,495,942,563,1021,,,,,316,158,332,196,0.0,0.0,0.0,new,0
68,,0001_top_20250705_t1.JPG_detect.csv,,,,,720,800,808,912,,,,,253,241,273,296,0.0,0.0,0.0,new,0
