image_name,template_key,xc,yc,t1_w,t1_h,classification,detail
0002_top_20250705_t1,DJI_0581,362.5,354.0,35,56,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,578.5,533.5,35,63,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,522.0,495.0,40,56,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,279.0,497.0,30,60,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,359.5,432.5,35,55,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,439.0,539.0,38,56,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,482.0,522.5,38,57,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,457.0,362.0,40,56,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,478.0,348.0,38,58,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,379.5,424.0,39,56,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,400.5,408.5,35,57,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,418.5,394.5,39,59,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,340.5,451.5,39,59,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,460.0,531.0,36,56,ILLEGAL,ILLEGAL;OTHER
0002_top_20250705_t1,DJI_0581,437.0,376.0,36,58,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,105.5,182.5,51,37,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,104.5,253.0,45,36,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,105.5,394.5,47,35,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,219.5,335.5,27,71,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,392.5,412.5,23,75,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,115.0,14.0,40,28,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,435.0,413.0,28,78,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,370.5,415.0,27,68,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,225.0,124.0,28,54,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,279.5,176.5,27,57,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,244.0,137.0,26,48,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,261.0,159.5,30,63,ILLEGAL,ILLEGAL;OTHER
0002_top_20250711_t1,DJI_0581,262.5,154.0,23,54,ILLEGAL,ILLEGAL;OTHER
0003_top_20250711_t1,DJI_0581,99.0,280.0,50,164,ILLEGAL,ILLEGAL;OTHER
0004_top_20250702_t1,DJI_0581,251.0,524.0,174,108,ILLEGAL,ILLEGAL;OTHER
0004_top_20250702_t1,DJI_0581,257.5,628.5,161,23,ILLEGAL,ILLEGAL;OTHER
0004_top_20250703_t1,DJI_0581,332.0,318.5,42,93,ILLEGAL,ILLEGAL;OTHER
0004_top_20250703_t1,DJI_0581,370.5,314.5,39,93,ILLEGAL,ILLEGAL;OTHER
0004_top_20250703_t1,DJI_0581,14.0,623.5,28,33,ILLEGAL,ILLEGAL;OTHER
0007_top_20250702_t1,DJI_0581,156.0,207.0,32,114,ILLEGAL,ILLEGAL;OTHER
0007_top_20250705_t1,DJI_0581,241.5,512.5,31,69,ILLEGAL,ILLEGAL;OTHER
0007_top_20250705_t1,DJI_0581,206.5,358.0,37,80,ILLEGAL,ILLEGAL;OTHER
0007_top_20250705_t1,DJI_0581,348.0,559.0,30,64,ILLEGAL,ILLEGAL;OTHER
0009_top_20250705_t1,DJI_0581,406.5,291.0,43,32,ILLEGAL,ILLEGAL;OTHER
0013_top_20250704_t1,DJI_0581,543.5,241.0,73,50,ILLEGAL,ILLEGAL;OTHER
