vehicle_id,t0_image_csv,t1_image_csv,note,iou,reid_similarity,final_score,saved_filename
1,0001_top_20250618_t0.jpeg_detect.csv,0001_top_20250618_t1.jpeg_detect.csv,hungarian,0.5322964115098322,0.5535318851470947,0.5322964115098322,ID_1_HUNGARIAN_S0.53_I0.53_R0.55.jpg
2,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,1.0000001192092896,1.0,ID_2_HUNGARIAN_S1.00_I1.00_R1.00.jpg
3,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,0.9999998807907104,1.0,ID_3_HUNGARIAN_S1.00_I1.00_R1.00.jpg
4,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,0.9999998807907104,1.0,ID_4_HUNGARIAN_S1.00_I1.00_R1.00.jpg
5,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,1.0,1.0,ID_5_HUNGARIAN_S1.00_I1.00_R1.00.jpg
6,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,1.0,1.0,ID_6_HUNGARIAN_S1.00_I1.00_R1.00.jpg
7,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,1.0,1.0,ID_7_HUNGARIAN_S1.00_I1.00_R1.00.jpg
8,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,1.0000001192092896,1.0,ID_8_HUNGARIAN_S1.00_I1.00_R1.00.jpg
9,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,1.0,1.0,ID_9_HUNGARIAN_S1.00_I1.00_R1.00.jpg
10,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,1.0,1.0,ID_10_HUNGARIAN_S1.00_I1.00_R1.00.jpg
11,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,0.9999999403953552,1.0,ID_11_HUNGARIAN_S1.00_I1.00_R1.00.jpg
12,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,1.0,1.0,ID_12_HUNGARIAN_S1.00_I1.00_R1.00.jpg
13,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,1.0000001192092896,1.0,ID_13_HUNGARIAN_S1.00_I1.00_R1.00.jpg
14,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,1.0,1.0,ID_14_HUNGARIAN_S1.00_I1.00_R1.00.jpg
15,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,0.9999999403953552,1.0,ID_15_HUNGARIAN_S1.00_I1.00_R1.00.jpg
16,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,hungarian,1.0,0.9999999403953552,1.0,ID_16_HUNGARIAN_S1.00_I1.00_R1.00.jpg
17,0001_top_20250702_t0.jpg_detect.csv,0001_top_20250702_t1.jpg_detect.csv,hungarian,0.7266982622432859,0.8523668050765991,0.7266982622432859,ID_17_HUNGARIAN_S0.73_I0.73_R0.85.jpg
18,0001_top_20250702_t0.jpg_detect.csv,0001_top_20250702_t1.jpg_detect.csv,hungarian,0.4665461121157324,0.8380100727081299,0.4665461121157324,ID_18_HUNGARIAN_S0.47_I0.47_R0.84.jpg
